title,type,description,release_year,runtime,genres,production_countries,tmdb_popularity,Actors
Sherlock Holmes,MOVIE,Eccentric consulting detective Sherlock Holmes and Doctor John Watson battle to bring down a new nemesis and unravel a deadly plot that could destroy England.,2009,129,'crime';'thriller';'action','AU';'DE';'GB';'US',43.297,Robert Downey Jr.;Jude Law;Rachel McAdams;Mark Strong;Eddie Marsan;Robert Maillet;Geraldine James;Kelly Reilly;William Houston;Hans Matheson;James Fox;William Hope;Clive Russell;Oran Gurel;David Garrick;Ky Discala;Andrew Brooke;Tom Watt;John Kearney;Sebastian Abineri;Jonathan Gabriel Robbins;James A. Stephens;Terence Taplin;Bronagh Gallagher;Ed Tolputt;Joe Egan;Jefferson Hall;Miles Jupp;Marn Davies;Andrew Greenough;Ned Dennehy;Martin Ewens;Amanda Grace Johnson;James Greene;David Emmings;Ben Cartwright;Chris Sunley;Michael Jenn;Timothy O'Hara;Guy Williams;Peter Miles;Rocco Ritchie;Guy Ritchie
Trailer Park Boys,SHOW,Follow the booze-fueled misadventures of three longtime pals and petty serial criminals who run scams from their Nova Scotia trailer park.,2001,25,'comedy';'crime','CA',22.603,John Paul Tremblay;Robb Wells;John Dunsworth;Patrick Roach;Sarah Dunsworth;Tyrone Parsons;Mike Smith
Love Actually,MOVIE,"'Love Actually' follows the lives of eight very different couples dealing with their love lives, in various loosely and interrelated tales, all set during a frantic month before Christmas in London, England.",2003,135,'drama';'comedy';'romance','GB';'US',36.484,Hugh Grant;Liam Neeson;Alan Rickman;Emma Thompson;Bill Nighy;Laura Linney;Colin Firth;Martine McCutcheon;Keira Knightley;Andrew Lincoln;Chiwetel Ejiofor;Martin Freeman;Rowan Atkinson;Thomas Brodie-Sangster;Rodrigo Santoro;Heike Makatsch;Lúcia Moniz;Gregor Fisher;Joanna Page;Kris Marshall;Adam Godley;Elisha Cuthbert;January Jones;Shannon Elizabeth;Denise Richards;Nina Sosanya;Billy Bob Thornton;Claudia Schiffer;Lulu Popplewell;Olivia Olson;Sienna Guillory;Dan Fredenburgh;Sheila Allen;Rory MacGregor;Carla Vasconcelos;Tim Hatwell;Frank Moorey;Jill Raymond;Lynden David Hall;Jont Whittington;Julia Davis;Edward Hardwicke;Caroline John;Richard Hawley;Ivana Miličević;Marcus Brigstocke;Anthony McPartlin;Declan Donnelly;Joanna Bacon;Bill Moody;Laura Rees;Nancy Sorrell;Elisabeth Margoni;Jo Whiley;Brian Bovell;Michael Parkinson;Meg Wynn Owen;Michael FitzGerald;William Wadham;Colin Coull;Margery Mason;Ruby Turner;Arturo Venegas;Raul Atalaia;Emma Buckley;Jeanne Moreau;Frances de la Tour;Richard Curtis;Anne Reid;Richard Wills-Cotton;Richard Curtis
America's Next Top Model,SHOW,Aspiring models compete for a chance to break into the business with a panel of judges critiquing their progress throughout the competition.,2003,44,'reality','US',14.501,Tyra Banks;Drew Elliott;Law Roach;Ashley Graham
Get Smart,MOVIE,"When the identities of secret agents from Control are compromised, the Chief promotes hapless but eager analyst Maxwell Smart and teams him with stylish, capable Agent 99, the only spy whose cover remains intact. Can they work together to thwart the evil plans of KAOS and its crafty operative?",2008,110,'comedy';'thriller';'action','US',22.421,Steve Carell;Anne Hathaway;Dwayne Johnson;Alan Arkin;Terence Stamp;James Caan;Bill Murray;Patrick Warburton;Terry Crews;David Koechner;Masi Oka;Nate Torrence;Ken Davitian;David S. Lee;Dalip Singh;Geoff Pierson;Kelly Karbacz;Arthur Darbinyan;Bill Romanowski;Mark Ivanir;Lindsay Hollister;Dimitri Diatchenko;Richard V. Licata;Greg Joung Paik;Mike Akrawi;John Abiskaron;Kerry Lai Fatt;David A. Parker;Bonnie Hellman;John Farley;Jonathan Loughran;Felisha Terrell;Jeff Tanner;Jasper Pendergrass;Carl Crevier;David Schaap;Peter Weireter;Thomas Garner ;Danielle Bisutti;Jessica Barth;David Fabrizio;John Eddins;Alex Kudrytsky;Tatyana Kaboulova;Moshana Halbert;Sergei Priselkov;Jane Gilchrist;Todd Sherry;David Aranovich;Ivy Bethune;Larry Miller;Kevin Nealon;Blake Clark;Cedric Yarbrough;James Moses Black;Bernie Kopell;Michael P. Catanzarite;Tim DeKay;Jerry Sherman;Matthew Glave;Brad Grunberg;Leonard B. Stern;Sean Segal;Stephen Dunham;Jennifer De Minco;Karri Turner;Ryan Seacrest;Don Abernathy;Andre Alexsen;Toby Burger;William Charlton;Doby Daenger;Nadia David;Aurelius DiBarsanti;Fred Fein;Mo Gallini;Terrick Guindy;Leslie Gunning;Sam Hale;Ho-Jung;Michael Wingate Jones;Triton King;Butch Klein;Sophia Lansky;Joshua Leary;Dalia Marom;David Newham;Phoebe Price;Nicholas Rich;Shant Sarkissian;Julian Scott Urena;Amanda Walion;Gunter Ziegler;Vinicius Zorin-Machado;Peter Segal
Quantum of Solace,MOVIE,"Quantum of Solace continues the adventures of James Bond after Casino Royale. Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined.",2008,106,'thriller';'action','GB';'US',31.298,Daniel Craig;Olga Kurylenko;Mathieu Amalric;Judi Dench;Giancarlo Giannini;Jeffrey Wright;Gemma Arterton;David Harbour;Jesper Christensen;Anatole Taubman;Rory Kinnear;Tim Pigott-Smith;Joaquín Cosío;Glenn Foster;Paul Ritter;Stana Katic;Lucrezia Lante della Rovere;Neil Jackson;Oona Chaplin;Rachel McDowall;Sarah Hadland;Alexandra Prusa;Brandon Jovanovich;Fernando Guillén Cuervo;Jesús Ochoa;Simon Kassianides;Guillermo del Toro;Alfonso Cuarón;Eva Green;Derek Lea;Tatiana Lavrentieva;Laila Alina Reischer;Marc Forster
The Blind Side,MOVIE,"The story of Michael Oher, a homeless and traumatized boy who became an All American football player and first round NFL draft pick with the help of a caring woman and her family.",2009,129,'drama';'sport','US',63.663,"Sandra Bullock;Tim McGraw;Quinton Aaron;Jae Head;Lily Collins;Ray McKinnon;Kim Dickens;Adriane Lenox;Kathy Bates;Catherine Dyer;Andy Stahl;Tom Nowicki;Libby Whittemore;Brian Hollan;Melody Weintraub;Sharon Conley;Omar J. Dorsey;Paul Amadi;Irone Singleton;Hampton Fluker;Rhoda Griffis;Eaddy Mays;Ashley LeConte Campbell;Stacey Turner;Elizabeth Omilami;Afemo Omilami;Maria Howell;Patrick G. Keenan;Eric Benson;David Dwyer;Catherine Combs;Kelly Johns;Robert Pralgo;Whitney Branan;Brian Sutherin;Rachel St. Gelais;Brandon Rivers;Jody Thompson;James Donadio;L. Warren Young;Brett Rice;Kevin Nichols;Preston Wigasi Brant;Matthew Atkinson;Trey Best;Omid Soltani;Destiny Long;April Rich;Jaye Tyroff;Ben Keen;John Newberg;John Henry Hancock;Joe Chrest;Michael Fisher;Lamont Koonce;Phillip Fulmer;Lou Holtz;Tom Lemming;Houston Nutt;Ed Orgeron;Franklin ""Pepper"" Rodgers;Nick Saban;Tommy Tuberville;John Lee Hancock"
Apocalypse Now Redux,MOVIE,"Apocalypse Now Redux is a 2001 extended version of Francis Ford Coppola's epic war film Apocalypse Now, which was originally released in 1979. Coppola, along with editor/long-time collaborator Walter Murch, added 49 minutes of scenes that had been cut out of the original film. It represents a significant re-edit of the original version.",2001,196,'drama';'war';'horror';'thriller','US',4.147341,Marlon Brando;Robert Duvall;Martin Sheen;Frederic Forrest;Laurence Fishburne;Albert Hall;Francis Ford Coppola
Identity,MOVIE,"Complete strangers stranded at a remote desert motel during a raging storm soon find themselves the target of a deranged murderer. As their numbers thin out, the travelers begin to turn on each other, as each tries to figure out who the killer is.",2003,90,'thriller','US',19.558,John Cusack;Ray Liotta;Amanda Peet;John Hawkes;Alfred Molina;Clea DuVall;John C. McGinley;William Lee Scott;Jake Busey;Pruitt Taylor Vince;Rebecca De Mornay;Carmen Argenziano;Marshall Bell;Leila Kenzle;Matt Letscher;Bret Loehr;Holmes Osborne;Frederick Coffin;Joe Hart;Michael Hirsch;Terence Bernie Hines;Stuart M. Besser;James Mangold
I Am Legend,MOVIE,"Robert Neville is a scientist who was unable to stop the spread of the terrible virus that was incurable and man-made. Immune, Neville is now the last human survivor in what is left of New York City and perhaps the world. For three years, Neville has faithfully sent out daily radio messages, desperate to find any other survivors who might be out there. But he is not alone.",2007,101,'scifi';'thriller';'action';'drama','US',69.139,Will Smith;Alice Braga;Charlie Tahan;Dash Mihok;Salli Richardson-Whitfield;Willow Smith;Emma Thompson;Darrell Foster;Joanna Numata;Samuel Glen;Pedro Mojica;Marin Ireland;Alexander DiPersia;Raul Torres;April Grace;James McCauley;Anthony C. Mazza;Steve Cirbus;Calista Hill;Gabriella Hill;Madeline Hill;Adhi Sharma;Tyree Michael Simpson;Blake Lange;Abraham Sparrow;Pat Fraley;Caitlin McHugh;Deborah Collins;Mike Patton;Katherine Brook;Vince Cupone;Lynna Davis;Anika Ellis;Moses Harris Jr.;Marc Inniss;Eric Jenkins;Reed Kelly;Grasan Kingsberry;Drew Leary;Asa Liebmann;Deborah Lohse;Jon-Paul Mateo;Luke Miller;Courtney Munch;Kimberly Shannon Murphy;Okwui Okpokwasili;Erin Owen;Victor Paguia;Paradox Pollack;Will Rawls;William Schultz;Hollie K. Seidel;Hannah Sim;Eric Spear;Mark Steger;Charlie Sutton;David Hamilton Thomson;Anthony Vincent;Greg Wattkis;Francis Lawrence
The Fairly OddParents,SHOW,"The zany, fast-paced adventures of a 10-year-old boy and his fairy godparents, who inadvertently create havoc as they grant wishes for their pint-sized charge.",2001,23,'comedy';'scifi';'animation';'family';'fantasy','CA';'US',67.192,Tara Strong;Susanne Blakeslee;Daran Norris;Carlos Alazraqui;Jim Ward;Gary LeRoi Gray;Grey DeLisle;Kari Wahlgren
Grown Ups,MOVIE,"After their high school basketball coach passes away, five good friends and former teammates reunite for a Fourth of July holiday weekend.",2010,102,'comedy';'drama';'european','US',98.37,Adam Sandler;Kevin James;Chris Rock;David Spade;Rob Schneider;Salma Hayek;Maria Bello;Maya Rudolph;Steve Buscemi;Joyce Van Patten;Colin Quinn;Tim Meadows;Madison Riley;Jamie Chung;Ashley Loren;Jake Goldberg;Cameron Boyce;Alexys Nycole Sanchez;Nadji Jeter;China Anne McClain;Ada-Nicole Sanger;Frank Gingerich;Morgan Gingerich;Ebony Jo-Ann;Di Quon;Dan Patrick;Tim Herlihy;Sadie Sandler;Jackie Sandler;Richie Minervini;Norm Macdonald;Dennis Dugan;Dennis Dugan
The Girl Next Door,MOVIE,"Exceptionally ambitious high schooler Matthew has aspirations for a career in politics when he falls in love with his gorgeous 19-year-old neighbor, Danielle. But Matthew's bright future is jeopardized when he finds Danielle was once a porn star. As Danielle's past catches up with her, Matthew's love for her forces him to re-evaluate his goals.",2004,110,'comedy';'romance';'drama','US',37.315,Artemii Yehorov;Kseniya Mishyna;Denys Pasiechnyi;Anna Trincher;Natalia Pasenytska
Ned's Declassified School Survival Guide,SHOW,"The whacky adventures of Ned Bigby and his best pals Moze and Cookie at James K. Polk Middle School, as ""every-kid"" Ned shatters the fourth wall to share tips and tricks on navigating middle school or junior high hurdles. Ned's not super cool, and he has no superpowers. He is, however, witty, well-groomed, upbeat and self-aware. Moreover, with more than a little help from his two best friends, he's equipped to conquer middle school minefields. From crushing bullies to crushes, from off- the-wall, mean and cool teachers to pop quizzes, elections and detentions, Ned knows that nothing, including the seventh grade, is as bad as it seems, and friendship matters most.",2004,25,'family';'comedy','US',33.115,Devon Werkheiser;Lindsey Shaw;Daniel Curtis Lee;Daran Norris
The Fighter,MOVIE,"Boxer ""Irish"" Micky Ward's unlikely road to the world light welterweight title. His Rocky-like rise was shepherded by half-brother Dicky, a boxer-turned-trainer who rebounded in life after nearly being KO'd by drugs and crime.",2010,115,'drama','US',17.007,Mark Wahlberg;Christian Bale;Amy Adams;Melissa Leo;Mickey O'Keefe;Jack McGee;Melissa McMeekin;Bianca Hunter;Erica McDermott;Jill Quigg;Dendrie Taylor;Kate B. O'Brien;Jenna Lamia;Frank Renzulli;Paul Campbell;Caitlin Dwyer;Chanty Sok;Ted Arcidi;Ross Bickell;Sean Malone;José Antonio Rivera;Richard Farrell;Matthew Muzio;Steven Barkhimer;Art Ramalho;Sugar Ray Leonard;Jackson Nicoll;Alison Folland;Sean Patrick Doherty;Sue Costello;Thomas Benton;Ray Greenhalge;Tino Kimly;Epifanio Melendez;Jeremiah Kissel;Sean Eklund;Roeun Chea;Brian Nguyen;Rikki Kleiman;Michael Dell'Orto;Paul Locke;Kim Carrell;Colin Hamell;Dale Place;Eddie Lee Anderson;Joe Lupino;Bonnie Aarons;Walter Driscoll;Matt Russell;A. Joseph Denucci;Dicky Eklund;George Michael Ward;Dicky Eklund Jr.;Jack Greenhalge;Kevin Paige;David A. Ramalho Sr.;Ziad Akl;Simon Hamlin;Gerald Greenhalge;Matthew Russell;Tommy Eklund;Rita Mercier;Deborah Bolanger;Kerry Moore;Philip Dorn Hebert;Raul Vera;Jack Lally;Carlos L. Smith;Lee Wesley;Hugh Long;Catherine Lynn Stone;Eric Weinstein;Bo Cleary;Anthony Molinari;Peter Cunningham;Miguel Espino;Anthony 'Ace' Thomas;Brian Christensen;Jen Weissenberg;Michael Buffer;Larry Merchant;Jim Lampley;Emanuel Steward;Roy Jones Jr.;George Foreman;Don Dunphy;David O. Russell
Public Enemies,MOVIE,"Depression-era bank robber John Dillinger's charm and audacity endear him to much of America's downtrodden public, but he's also a thorn in the side of J. Edgar Hoover and the fledgling FBI. Desperate to capture the elusive outlaw, Hoover makes Dillinger his first Public Enemy Number One and assigns his top agent, Melvin Purvis, the task of bringing him in dead or alive.",2009,140,'action';'crime';'drama';'history';'european','US';'JP',85.039,Johnny Depp;Christian Bale;Marion Cotillard;Jason Clarke;Rory Cochrane;Billy Crudup;Stephen Dorff;Stephen Lang;John Ortiz;Giovanni Ribisi;David Wenham;Stephen Graham;Branka Katić;Rebecca Spence;Michael Bentt;Shawn Hatosy;Channing Tatum;Emilie de Ravin;Leelee Sobieski;Carey Mulligan;Christian Stolte;Domenick Lombardozzi;Adam Mucci;Matt Craven;John Judd;James Russo;Bill Camp;Michael Vieau;John Kishline;Wesley Walker;John Scherp;Elena Kenney;William Nero Jr.;Don Frye;Michael Sassone;Madison Dirks;Casey Siemaszko;John Michael Bolger;Peter DeFaria;Jonathan Macchi;Jeff Shannon;Robyn LeAnn Scott;Richard Short;Randy Ryan;Kurt Naebig;John Hoogenakker;Diana Krall;Shanyn Leigh;Lili Taylor;Stephen Spencer;Rick Uecker;Spencer Garrett;David Warshofsky;Peter Gerety;Chandler Williams;Joel Thingvall;Michael Mann
Not Another Teen Movie,MOVIE,"On a bet, a gridiron hero at John Hughes High School sets out to turn a bespectacled plain Jane into a beautiful and popular prom queen in this outrageous send-up of the teen movies of the 1980s and '90s.",2001,89,'comedy','US',36.438,Chyler Leigh;Chris Evans;Jaime Pressly;Eric Christian Olsen;Mia Kirshner;Lacey Chabert;Samaire Armstrong;Cerina Vincent;Mr. T;Molly Ringwald;Heather Brown;Nectar Rose;Michael Ensign;Kyle Cease;Eric Jungmann;Desi Lydic;Deon Richmond;Ron Lester;Cody McMains;Sam Huntington;JoAnna Garcia;Samm Levine;Beverly Polcyn;Ed Lauter;Paul Gleason;Randy Quaid;Riley Smith;Nathan West;Michelle Holgate;Jeanette Miller;Benjamin Waldow;Josh Radnor;Alec Murdock;Ross Mulholland;Dean Sheremet;Becca Sweitzer;Hayley Zelniker;Lukas Behnken;Josh Jacobson;Amber Goetz;Joy Bisco;Morisa Taylor Kaplan;George Wyner;Ned Brower;Peter Simon;Joy Gohring;Tracy Kay;Jessica Asher;Sean Smith;Ean Mering;Lyman Ward;Julie Welch;Daniel Bess;James Read;Rob Benedict;Banks McClintock;Jay Johnston;Jesse Capelli;Daniel Spink;Oz Perkins;Jim Wise;Kimi Bateman;Staci B. Flood;Sarah Christine Smith;China Shavers;H. Jon Benjamin;Paul Goebel;Marissa Fedele;Samuel Givens;Kimberly Lyon;Zachary Woodlee;Cynthena Sanders;Will Gill Jr.;Nick Zephyrin;Heidi Androl;Ian Aronson;Sam Ayers;Nick Bakay;Candice T. Cain;Maylen Calienes;Marcus Edward;Arturo Elizondo;David M. Francis;Melissa Joan Hart;Kelly S. King;Jarrett Lennon;Tracey McCall;Jennifer Schlueter;Gena Shaw;Abraham Smith;Tessa;Sean Patrick Thomas;Cassie Townsend;Jeremiah Vaughn;Susan Anne Wall;Scott Hislop;Jackie Harris Greenberg;Joel Gallen
Blow,MOVIE,"A boy named George Jung grows up in a struggling family in the 1950's. His mother nags at her husband as he is trying to make a living for the family. It is finally revealed that George's father cannot make a living and the family goes bankrupt. George does not want the same thing to happen to him, and his friend Tuna, in the 1960's, suggests that he deal marijuana. He is a big hit in California in the 1960's, yet he goes to jail, where he finds out about the wonders of cocaine. As a result, when released, he gets rich by bringing cocaine to America. However, he soon pays the price.",2001,124,'crime';'drama','US',24.348,Johnny Depp;Penélope Cruz;Franka Potente;Rachel Griffiths;Paul Reubens;Jordi Mollà;Cliff Curtis;Max Perlich;Miguel Sandoval;Ethan Suplee;Ray Liotta;Kevin Gage;Tony Amendola;Jesse James;Emma Roberts;Dan Ferro;Bobcat Goldthwait;Miguel Pérez;Michael Tucci;Monet Mazur;Lola Glaudini;Jennifer Gimenez;Jaime King;Charles Noland;Pamela Abdy;John Harrington Bland;Jimmy Burke;Brantley Bush;Kevin Chapman;Ted Demme;Daniel Escobar;Tracy Falco;Vanessa Grayson;Elif Guertin;Faith Hoover;Kristina Jung;Dorothy Lyman;Genevieve Maylam;Kathleen Mullan;Meriah Nelson;Sophie Tsimel;The Dawk;Crystal Erickson;Jean-Carlos Felix;Lazaro Galarraga;Brian Goodman;Josh Herman;Brad Hunt;Patrick Husted;Ralph Kampshoff;Ajgie Kirkland;Skip O'Brien;Richard LaGravenese;Roberto Lopez;Lydell M. Cheshier;Jodie Mann;Gonzalo Menendez;Mauricio Mendoza;Carlos Mendoza;Alan James Morgan;Randy Mulkey;Tony Perez;Jack Polick;Michael Ralph;Raoul N. Rizik;Matt Robinson;Elizabeth Rodriguez;Bert Rosario;Leslie Schirrmacher;Dale Snowberger;Julia Vera;Santiago Verdu;Pamela Walker;Twyla Banks;Greg Bronson;Nick Cassavetes;Janine Foster;Jo Price;Anna de Cardi;Ted Demme
Hancock,MOVIE,"Hancock is a down-and-out superhero who's forced to employ a PR expert to help repair his image when the public grows weary of all the damage he's inflicted during his lifesaving heroics. The agent's idea of imprisoning the antihero to make the world miss him proves successful, but will Hancock stick to his new sense of purpose or slip back into old habits?",2008,92,'fantasy';'action';'crime';'drama','US',121.985,Will Smith;Charlize Theron;Jason Bateman;Jae Head;Eddie Marsan;David Mattey;Maetrix Fitten;Thomas Lennon;Johnny Galecki;Hayley Marie Norman;Dorothy Cecchi;Peter Berg;Darrell Foster;Brandon Ford Green;Daeg Faerch;Trieu Tran;Ryan Radis;Eddie J. Fernandez;Martin Klebba;Matt Bettinelli-Olpin;Samantha Cannon;Rico Devereaux;Alexa Havins;Edward M. Kelahan;Algerita Wynn Lewis;Rick Mali;Chris Mitchell;Scott Michael Morgan;Bryan Keith Ponton;Dawn Ressy;Nicholas Rich;Mark Simich;Nancy Grace;Brad Leland;Michael Mann;Atticus Shaffer;Michelle Lemon;Akiva Goldsman;Trieu Tran;Liz Wicker;Taylor Gilbert;Caroll Tohme;Barbara Ali;Elizabeth Dennehy;Peter Berg
iCarly,SHOW,"Watch Carly, Sam, and Freddie, as they try to balance their everyday 8th grade lives with their newfound fame managing and starring in the most awesome show on the web.",2007,26,'comedy';'family';'romance','US',100.996,Miranda Cosgrove;Jennette McCurdy;Nathan Kress;Jerry Trainor;Noah Munck
The Pursuit of Happyness,MOVIE,A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career.,2006,117,'drama';'european','US',47.893,Will Smith;Jaden Smith;Thandiwe Newton;Brian Howe;James Karen;Kurt Fuller;Dan Castellaneta;Joe Nunez;David Fine;Takayo Fischer;Kevin West;George Cheung;Geoff Callan;Scott Klace;Rashida Clendening;Peter Fitzsimmons;Maurice Sherbanee;Zuhair Haddad;Victor Raider-Wexler;Mark Christopher Lawrence;George Maguire;Adam Del Rio;Rueben Grundy;Ming Lo;Stu Klitsner;Esther Scott;Cecil Williams;Amir Talai;Mike Garibaldi;Jason Frazier;David Haines;Bob Greene;Robert Anthony Peters;Cathy Fithian;Keith Stevenson;Karen Kahn;Yeena Fisher;Phil Austin;Kenny Santiago Marrero;David Pearl;Rick Camp;Brad Carr;Ben Fritz;Adam Wang;Zachary Culbertson;Brendan Kruse;Austin Scott;Gabriele Muccino
Monster,MOVIE,"An emotionally scarred highway drifter shoots a sadistic trick who rapes her, and ultimately becomes the United States' first female serial killer.",2003,110,'crime';'drama';'thriller';'european','US',16.309,Charlize Theron;Christina Ricci;Bruce Dern;Lee Tergesen;Annie Corley;Pruitt Taylor Vince;Marco St. John;Marc Macaulay;Scott Wilson;Rus Blackwell;Tim Ware;Stephan Jones;Brett Rice;Kaitlin Riley;Cree Ivey;Catherine Mangan;Magdalena Manville;T. Robert Pigott;Romonda Shaver;Glenn R. Wilder;Elaine Stebbins;Kane Hodder;Christian Stokes;Lyllian Barcaski;Nonalee Davis;Bubba Baker;Al;Cannonball;Chad Vaccarino;Gene R. Stephenson;Jesse Stern;Billy Boylan;Jim R. Coleman;Chandra Leigh;Patty Jenkins
Rambo,MOVIE,"When governments fail to act on behalf of captive missionaries, ex-Green Beret John James Rambo sets aside his peaceful existence along the Salween River in a war-torn region of Thailand to take action.  Although he's still haunted by violent memories of his time as a U.S. soldier during the Vietnam War, Rambo can hardly turn his back on the aid workers who so desperately need his help.",2008,92,'action';'thriller';'war';'european','DE';'US',72.224,Sylvester Stallone;Julie Benz;Matthew Marsden;Graham McTavish;Reynaldo Gallegos;Tim Kang;Jake La Botz;Maung Maung Khin;Paul Schulze;Cameron Pearson;Thomas Peterson;Tony Skarberg;James With;Kasikorn Niyompattana;Shaliew 'Lek' Bamrungbun;Supakorn Kitsuwon;Aung Aay Noi;Ken Howard;Aung Theng;Pornpop 'Tor' Kampusiri;Wasawat Panyarat;Kammul Kawtep;Sornram Patchimtasanakarn;Noa 'Arunee Prijareonsuk' Jei;Kjam Saen;Aun Lung Su;Pan Dokngam;Han Pik;Tip Tiya;Nee Lungjai;Yupin Mu Pae;Moan Adisak;Somsak Wongsa;Surachai Muangdee;Mana Sen-Mi;Toole Khan Kham;Saiwan Lungta;Watcharentr Sedtho;Rapimpa Dibu;May Kung;George Cheung;Richard Crenna;Matthew Wolf;Sylvester Stallone
Something's Gotta Give,MOVIE,"Harry Sanborn is an aged music industry exec with a fondness for younger women like Marin, his latest trophy girlfriend. Things get a little awkward when Harry suffers a heart attack at the home of Marin's mother, Erica. Left in the care of Erica and his doctor, a love triangle starts to take shape.",2003,128,'drama';'comedy';'romance','US',14.619,Jack Nicholson;Diane Keaton;Keanu Reeves;Frances McDormand;Amanda Peet;Jon Favreau;Paul Michael Glaser;Rachel Ticotin;Paige Butcher;Tanya Sweet;Kristine Szabo;Daniella van Graas;Tamara Spoelder;Sonja Francis;Vanessa Trump;Kathy Tong;Marjie Gum;Jennifer Siebel Newsom;Robert Frank Telfer;Beatrice Quinn;Connie Sawyer;Lorraine Nicholson;Ara Anton;Melette Le Blanc-Cabot;Suzanne Dizon;Audrey Wasilewski;Roxanne Beckford;Robin Pearson Rose;Tania Deighton;Nicki Norris;Lorna Scott;T.J. Thyne;KaDee Strickland;Tayrene Mugridge;Elayne Taylor;Conroe Brooks;Taylor Block;Melissa Keller;Genelle Frenoy;Nichole Hiltz;Leslie Upson;Patrick Fischler;Lewis Dauber;Jamie Bullock;Peter Spears;Michelle Fabiano;Catherine McGoohan;Blaine Allen;Julia Rose;Joan Adelle Nelson;Cindy Joseph;Alexandra Neil;Susan Misner;Sean Smith;María Esquivel;Madelyn Kennedy;Raney Kennedy;Cass Asher;Shashi Balooja;Alan Charof;Troy Christian;André Crudo;John Dalton;Deborah Daulton-Morton;Elisabeth Granli;James Hunter;Candy Ibarra;Larry Lane;Lynne Langdon;Matthew McCullough;Jennifer Montague;Bev Reese;Scott Alan Taylor;John H. Tobin;Kevin Watson;Dean Wood;Nancy Meyers
Harold & Kumar Go to White Castle,MOVIE,"Nerdy accountant Harold and his irrepressible friend, Kumar, get stoned watching television and find themselves utterly bewitched by a commercial for White Castle. Convinced there must be one nearby, the two set out on a late-night odyssey that takes them deep into New Jersey. Somehow, the boys manage to run afoul of rednecks, cops and even a car-stealing Neil Patrick Harris before getting anywhere near their beloved sliders.",2004,83,'comedy','US',15.026,John Cho;Kal Penn;Paula Garcés;Neil Patrick Harris;David Krumholtz;Malin Åkerman;Brooke D'Orsay;Steve Braun;Fred Willard;Rob Tinkler;Bobby Lee;Anthony Anderson;Ethan Embry;Eddie Kaye Thomas;Ryan Reynolds;Christopher Meloni;Boyd Banks;Jamie Kennedy;Siu Ta;Gary Anthony Williams;Jon Hurwitz;Hayden Schlossberg;Danny Leiner
Thir13en Ghosts,MOVIE,"Arthur and his two children, Kathy and Bobby, inherit his Uncle Cyrus's estate: a glass house that serves as a prison to 12 ghosts. When the family, accompanied by Bobby's Nanny and an attorney, enter the house they find themselves trapped inside an evil machine ""designed by the devil and powered by the dead"" to open the Eye of Hell. Aided by Dennis, a ghost hunter, and his rival Kalina, a ghost rights activist out to set the ghosts free, the group must do what they can to get out of the house alive.",2001,91,'horror';'thriller';'fantasy','CA';'US',50.592,Tony Shalhoub;Embeth Davidtz;Matthew Lillard;Shannon Elizabeth;Rah Digga;Alec Roberts;JR Bourne;F. Murray Abraham;Matthew Harrison;Charles Andre;Laura Mennell;Kathryn Anderson;Craig Olejnik;Shawna Loyer;Xantha Radley;C. Ernst Harth;John DeSantis;Mikhael Speidel;Mike Crestejo;Jacob Rupp;Steve Beck
Merlin,SHOW,"The unlikely friendship between Merlin, a young man gifted with extraordinary magical powers, and Prince Arthur, heir to the crown of Camelot.",2008,44,'action';'drama';'scifi';'fantasy';'european','GB',74.931,Colin Morgan;Angel Coulby;Bradley James;Katie McGrath;Richard Wilson;John Hurt
Transformers: Prime,SHOW,"Roll out with Optimus Prime, Bumblebee, Arcee, Ratchet, Bulkhead, and the rest of the heroic Autobots as they battle the evil Decepticons. Now that big bad Megatron has returned with a mysterious and dangerous element, Team Prime must prepare for an epic battle.",2010,22,'action';'animation';'comedy';'drama';'family';'scifi','US',28.925,Peter Cullen;Jeffrey Combs;Frank Welker;Tania Gunadi;Josh Keaton;Kevin Michael Richardson;Ernie Hudson;Andy Pessoa;Sumalee Montano
Cloudy with a Chance of Meatballs,MOVIE,"Inventor Flint Lockwood creates a machine that makes clouds rain food, enabling the down-and-out citizens of Chewandswallow to feed themselves. But when the falling food reaches gargantuan proportions, Flint must scramble to avert disaster. Can he regain control of the machine and put an end to the wild weather before the town is destroyed?",2009,90,'animation';'comedy';'family';'fantasy';'scifi';'romance';'drama','US',58.945,Bill Hader;Anna Faris;James Caan;Andy Samberg;Bruce Campbell;Bobb'e J. Thompson;Mr. T;Benjamin Bratt;Neil Patrick Harris;Max Neuwirth;Al Roker;Lauren Graham;Will Forte;Angela Shelton;Peter Siragusa;Neil Flynn;Liz Cackowski;Isabella Acres;Lori Alan;Shane Baumel;Bob Bergen;Cody Cameron;Marsha Clark;John Cygan;Ann Dominic;Paul Eiding;Jess Harnell;Gary A. Hecker;Phil Lord;Sherry Lynn;Danny Mann;Mona Marshall;Mickie McGowan;Christopher Miller;Laraine Newman;Jan Rabson;Grace Rolek;Jeremy Shada;Will Shadley;Melissa Sturm;Ariel Winter;Phil Lord;Christopher Miller
