title,type,description,release_year,runtime,genres,production_countries,tmdb_popularity,Actors
Carmen Sandiego: To Steal or Not to Steal,MOVIE,"You drive the action in this interactive adventure, helping Carmen save Ivy and Zack when V.I.L.E. captures them during a heist in Shanghai.",2020,31,'animation';'family';'action','CA',5.246,Gina Rodriguez;Finn Wolfhard;Abby Trott;Micheal Hawley;Liam O'Brien;Mary Elizabeth McGlynn;Toks Olagundoye;Sharon Muthu;Kari Wahlgren;Andrew Pifko;Bernardo de Paula;Kimiko Glenn;Charlet Chung;Dawnn Lewis;Jos Humphrey;Kenny Park
Torbaaz,MOVIE,"At an Afghanistan refugee camp, an ex-army doctor seeks to bring children joy through cricket and soon realizes that the stakes go beyond the sport.",2020,132,'drama';'thriller';'action';'sport','IN',2.797,Sanjay Dutt;Rahul Dev;Nargis Fakhri;Gavie Chahal;Girish Malik
Sam Jay: 3 in the Morning,MOVIE,"Comedian and ""Saturday Night Live"" writer Sam Jay serves up fresh takes on relationships, travel nightmares, the audacity of white people and more.",2020,64,'comedy',,3.01,Sam Jay;Kristian Mercado
Ma Rainey's Black Bottom: A Legacy Brought to Screen,MOVIE,"Viola Davis, Denzel Washington, George C. Wolfe and more share the heart, soul and history that brought August Wilson's timeless play to the screen.",2020,31,'documentation','US',3.231,Glynn Turman;Viola Davis;George C. Wolfe;Branford Marsalis;Imani Perry;Michael Potts;Colman Domingo;Constanza Romero;Todd Black;Dusan Brown;Taylour Paige;Ann Roth;Denzel Washington;Chadwick Boseman;August Wilson
The Magic School Bus Rides Again: Kids in Space,MOVIE,The Magic School Bus kids blast into orbit - and onto the International Space Station - only to find themselves on the run from a giant tardigrade.,2020,45,'action';'family';'animation';'comedy';'scifi','CA',3.821,Kate McKinnon;Mikaela Blake
Crime Diaries: The Candidate,SHOW,"In 1994, Mexican presidential candidate Luis Donaldo Colosio's assassination sends his dying widow racing to uncover who did it.",2019,42,'thriller';'war';'drama';'crime','MX',9.173,Jorge A. Jimenez;Ilse Salas;Alberto Guerra;Gustavo Sánchez Parra;Jorge Antonio Guerrero;Ari Brickman;Martín Altomaro;Hernán del Riego;Orlando Moguel;Enrique Arreola
Sakho & Mangane,SHOW,"Two cops with very different methods, solving mysterious murder cases surrounded by black magic.",2019,51,'action';'comedy';'crime','SN',3.577,Fatou-Elise Ba;Yann Gael;Christiane Dumont;Ricky Tribord;Ndiaga Mbow;Khalima Gadji;Christophe Guybet;Issaka Sawadogo
Secreto bien guardado,SHOW,"In the summer of 1940, Amalia, a young high-class Jew discovers love with Marthin Muller, a Nazi officer.",2019,30,'drama';'romance','AR',2.832,Mauricio Sabin Paz;Dolores San Pellegrini;Gulliver Market;Victorio D'Alessandro;Jorge Suárez;Noemí Frenkel;Matías Mayer;Paula Sartor;Agustina Palma;Graciela Tenenbaum;Bárbara Lombardo;Juan Bautista Greppi;Oriana Sabatini;Abián Vainstein;Romina Fernandes;Aitor Miguens;Carlos Kaspar;Romina Pinto;Pablo Moseinco;Alexis López Costa;Miguel Dao;Marta Lubos;Alberto Lecchi
Iliza Shlesinger: Unveiled,MOVIE,"Comedian Iliza Shlesinger dissects her recent wedding with riffs on screeching bachelorette parties, that creepy garter removal tradition and more.",2019,78,'comedy','US',4.031,Iliza Shlesinger;Steve Paley
Michelle Buteau: Welcome to Buteaupia,MOVIE,"Scene-stealing queen Michelle Buteau dazzles with real talk on relationships, parenthood, cultural differences and the government workers who adore her.",2020,58,'comedy',,2.939,Michelle Buteau;Page Hurwitz
